a,sl_
b,lsss_
c,lsls_
d,lss_
e,s_
f,ssls_
g,lls_
h,ssss_
i,ss_
j,slll_
k,lsl_
l,slss_
m,ll_
n,ls_
o,lll_
p,slls_
q,llsl_
r,sls_
s,sss_
t,l_
u,ssl_
v,sssl_
w,sll_
x,lssl_
y,lsll_
z,llss_
1,sllll_
2,sslll_
3,sssll_
4,ssssl_
5,sssss_
6,lssss_
7,llsss_
8,lllss_
9,lllls_
0,lllll_
 ,__
.,slslsl_
",",llssll_
?,ssllss_
',slllls_
/,lssls_
(,lslls_
),lsllsl_
&,slsss_
:,lllsss_
=,lsssl_
+,slsls_
-,lssssl_
"\"",slssls_
@,sllsls_
"End of Work",ssslsl_
"Error",ssssssss_
"Invite",lsl_
"Start",lslsl_
"New Page",slsls_
"Understood",sssls_
"Wait",slsss_